#(Ei − Ef) / eV 	H atom flux
-0.99927	0
-0.97957	0
-0.95987	0
-0.94017	0
-0.92047	0
-0.90077	0
-0.88107	-0.00211
-0.86137	-0.01642
-0.84167	0
-0.82197	0
-0.80227	0
-0.78257	0
-0.76287	0
-0.74317	0
-0.72347	0
-0.70377	0
-0.68407	-0.00374
-0.66437	-0.01421
-0.64467	0
-0.62497	0
-0.60527	0
-0.58557	0
-0.56587	0
-0.54617	0
-0.52647	0
-0.50677	0
-0.48707	0
-0.46737	0
-0.44767	0
-0.42797	0
-0.40827	0
-0.38857	-0.0036
-0.36887	-0.01247
-0.34917	0
-0.32947	0
-0.30977	0
-0.29007	0
-0.27037	-0.00286
-0.25067	-0.00993
-0.23097	0.01004
-0.21127	-0.0128
-0.19157	0
-0.17186	0
-0.15216	0.00249
-0.13246	0.02199
-0.11276	0.05569
-0.09306	0.05011
-0.07336	0.09061
-0.05366	0.16167
-0.03396	0.41
-0.01426	0.57087
0.00544	0.71774
0.02514	1
0.04484	0.96243
0.06454	0.8397
0.08424	0.65101
0.10394	0.541
0.12364	0.49637
0.14334	0.4913
0.16304	0.44972
0.18274	0.35725
0.20244	0.2375
0.22214	0.31435
0.24184	0.25349
0.26154	0.2123
0.28124	0.13758
0.30094	0.12354
0.32064	0.15832
0.34034	0.1129
0.36004	0.12141
0.37974	0.09588
0.39944	0.10588
0.41914	0.14122
0.43884	0.13093
0.45854	0.13142
0.47824	0.16556
0.49794	0.21998
0.51764	0.2685
0.53734	0.30767
0.55704	0.35724
0.57674	0.45593
0.59644	0.49024
0.61614	0.49186
0.63584	0.56891
0.65554	0.67663
0.67524	0.78675
0.69494	0.80513
0.71464	0.86442
0.73434	0.9544
0.75404	0.88887
0.77374	0.87753
0.79344	0.81277
0.81314	0.70685
0.83285	0.47318
0.85255	0.42478
0.87225	0.33148
0.89195	0.23512
0.91165	0.11885
0.93135	0.07715
