#(Ei − Ef) / eV 	H atom flux
0.02125	0.12116
0.03928	0.04641
0.05732	0.02381
0.07535	0.29196
0.09339	0.2025
0.11142	0.11249
0.12946	0.25299
0.1475	0.3882
0.16553	0.37413
0.18357	0.3836
0.2016	0.51801
0.21964	0.60009
0.23768	0.47277
0.25571	0.47852
0.27375	0.79458
0.29178	0.51019
0.30982	0.46902
0.32786	0.67147
0.34589	0.6683
0.36393	0.49876
0.38196	0.34979
0.4	0.35073
0.41804	0.30817
0.43607	0.37352
0.45411	0.15499
0.47214	0.16112
0.49018	0.33081
0.50822	0.26319
0.52625	0.19008
0.54429	0.10865
0.56232	0.21773
0.58036	0.16611
0.5984	0.12585
0.61643	0.12992
0.63447	0.12999
0.6525	0.1882
0.67054	0.10228
0.68858	0.06924
0.70661	0.17858
0.72465	0.09141
0.74268	0.10602
0.76072	0.24961
0.77876	0.31985
0.79679	0.14133
0.81483	0.16716
0.83286	0.32889
0.8509	0.35407
0.86894	0.13145
0.88697	0.22078
0.90501	0.44096
0.92304	0.35696
0.94108	0.34903
0.95912	0.56776
0.97715	0.55822
0.99519	0.45024
1.01322	0.59267
1.03126	0.57594
1.0493	0.65201
1.06733	0.66109
1.08537	0.63925
1.1034	0.64458
1.12144	0.70997
1.13948	0.66034
1.15751	0.67887
1.17555	0.71407
1.19358	0.68924
1.21162	0.693
1.22966	0.52035
1.24769	0.59511
1.26573	0.8135
1.28376	0.73285
1.3018	0.99999
1.31984	0.9299
1.33787	0.87271
1.35591	0.82222
1.37394	0.92939
1.39198	0.97325
1.41002	0.91846
1.42805	0.91536
1.44609	0.81978
1.46412	0.83224
1.48216	0.70927
1.5002	0.80048
1.51823	0.78566
1.53627	0.67185
1.5543	0.8074
1.57234	0.84541
1.59038	0.7871
1.60841	0.77441
1.62645	0.8296
1.64448	0.83316
1.66252	0.91848
1.68056	0.76264
1.69859	0.7816
1.71663	0.75062
1.73466	0.73662
1.7527	0.77342
1.77074	0.81621
1.78877	0.68602
1.80681	0.61979
1.82484	0.65133
1.84288	0.58343
1.86092	0.59916
1.87895	0.70291
1.89699	0.72226
1.91502	0.67064
1.93306	0.61782
1.9511	0.52855
1.96913	0.5706
1.98717	0.70911
2.0052	0.59378
2.02324	0.56403
2.04128	0.56148
2.05931	0.63478
2.07735	0.74483
2.09538	0.67412
2.11342	0.6679
2.13146	0.57569
2.14949	0.60559
2.16753	0.56522
2.18556	0.62141
2.2036	0.61712
2.22164	0.61229
2.23967	0.53275
2.25771	0.38057
2.27574	0.38055
2.29378	0.4322
2.31182	0.4618
2.32985	0.42717
2.34789	0.48856
2.36592	0.46279
2.38396	0.4458
2.402	0.40384
2.42003	0.42166
2.43807	0.5369
2.4561	0.35819
2.47414	0.63021
2.49218	0.44859
2.51021	0.3711
2.52825	0.32124
2.54628	0.35806
2.56432	0.42751
2.58236	0.45599
2.60039	0.42976
2.61843	0.52426
2.63646	0.36852
2.6545	0.50204
2.67254	0.36274
2.69057	0.54901
2.70861	0.25775
2.72664	0.38708
2.74468	0.39318
2.76272	0.36878
2.78075	0.42647
2.79879	0.34179
2.81682	0.26066
2.83486	0.29821
2.8529	0.25514
2.87093	0.28989
2.88897	0.29641
2.907	0.20132
2.92504	0.22123
2.94308	0.2687
2.96111	0.3122
2.97915	0.23321
2.99718	0.26561
3.01522	0.29539
3.03326	0.27385
3.05129	0.28531
3.06933	0.2002
3.08736	0.14218
3.1054	0.3212
3.12344	0.30172
3.14147	0.24411
3.15951	0.32941
3.17754	0.29555
3.19558	0.31413
3.21362	0.30356
3.23165	0.21709
3.24969	0.16883
3.26772	0.15988
3.28576	0.23664
3.3038	0.25434
3.32183	0.21107
3.33987	0.28968
3.3579	0.33776
3.37594	0.29204
3.39398	0.31533
3.41201	0.27176
3.43005	0.26537
3.44808	0.28322
3.46612	0.33669
3.48416	0.193
3.50219	0.09658
3.52023	0.20712
3.53826	0.14865
3.5563	0.17656
3.57434	0.20144
3.59237	0.27133
3.61041	0.25176
3.62844	0.2389
3.64648	0.26785
3.66452	0.26318
3.68255	0.19412
3.70059	0.15637
3.71862	0.20521
3.73666	0.22437
3.7547	0.17297
3.77273	0.19687
3.79077	0.27388
3.8088	0.2016
3.82684	0.25505
3.84488	0.25176
3.86291	0.25304
3.88095	0.24572
3.89898	0.23581
3.91702	0.18688
3.93505	0.16388
3.95309	0.1473
3.97113	0.12838
3.98916	0.16091
4.0072	0.21615
4.02523	0.20392
4.04327	0.11201
4.06131	0.18261
4.07934	0.22829
4.09738	0.15613
4.11541	0.16797
4.13345	0.15493
4.15149	0.20157
4.16952	0.17369
4.18756	0.13057
4.20559	0.14392
4.22363	0.19503
4.24167	0.20033
4.2597	0.15814
4.27774	0.22335
4.29577	0.27068
4.31381	0.24161
4.33185	0.09648
4.34988	0.20784
4.36792	0.17605
4.38595	0.15969
4.40399	0.14337
4.42203	0.10126
4.44006	0.06027
4.4581	0.05839
4.47613	0.08453
4.49417	0.10853
4.51221	0.12582
4.53024	0.06075
4.54828	0.10599
4.56631	0.09721
4.58435	0.15812
4.60239	0.10191
4.62042	0.09697
4.63846	0.10953
4.65649	0.15453
4.67453	0.20613
4.69257	0.17944
4.7106	0.07757
4.72864	0.0387
4.74667	0.0282
4.76471	0.01032
4.78275	0.09759
4.80078	0.09053
4.81882	0.094
4.83685	0.10205
4.85489	0.08447
4.87293	0.06207
4.89096	0.06636
4.909	0.07707
4.92703	0.06925
4.94507	0.14422
4.96311	0.12118
4.98114	0.13509
4.99918	0.12134
5.01721	0.07833
5.03525	0.07333
5.05329	0.10306
5.07132	0.14235
5.08936	0.12427
5.10739	0.04407
5.12543	0.02655
5.14347	0.03501
5.1615	0.05641
5.17954	0.03617
5.19757	0.04517
5.21561	0.0537
5.23365	0.03345
5.25168	0.01577
5.26972	0.02127
5.28775	0.02901
5.30579	0.02424
5.32383	0.03025
5.34186	0.03014
5.3599	0.05482
5.37793	0.04736
5.39597	0.02914
5.41401	0.03696
5.43204	0.04912
5.45008	0.0416
5.46811	0.03057
5.48615	0.03619
5.50419	0.00695
5.52222	0.01865
5.54026	0.00374
5.55829	-1.51E-06
5.57633	0.02241
5.59437	0.01904
5.6124	0
5.63044	0.00165
5.64847	0.00485
5.66651	0.00111
5.68455	0.01623
5.70258	0.00261
5.72062	-0.00402
5.73865	-0.00202
5.75669	0
5.77473	0.00417
5.79276	0.00556
5.8108	-0.00397
5.82883	4.00E-04
5.84687	0.00451
5.86491	0.0045
5.88294	-0.0123
5.90098	-0.00613
5.91901	0.00216
5.93705	0.00729
5.95509	0.00661
5.97312	-0.00291
5.99116	-0.00174
