#(Ei − Ef) / eV 	H atom flux
-1.81843	0
-1.80039	-1.35E-05
-1.78235	-0.02015
-1.76432	0.01295
-1.74628	0.02397
-1.72825	0.02404
-1.71021	0.02409
-1.69217	-0.01276
-1.67414	-0.00464
-1.6561	0.03887
-1.63807	0.01587
-1.62003	0
-1.60199	-0.00623
-1.58396	-0.01925
-1.56592	-0.01296
-1.54789	-0.06679
-1.52985	-0.02466
-1.51181	-0.02265
-1.49378	-0.00147
-1.47574	-0.02388
-1.45771	-3.20E-07
-1.43967	1.80E-04
-1.42163	0.02494
-1.4036	2.35E-04
-1.38556	-0.07446
-1.36753	0.0241
-1.34949	0.02525
-1.33145	3.51E-05
-1.31342	0.02506
-1.29538	6.98E-04
-1.27735	0.02903
-1.25931	0.09166
-1.24127	-0.0439
-1.22324	0.02568
-1.2052	0.02574
-1.18717	0.03088
-1.16913	0.02708
-1.15109	-0.0445
-1.13306	-0.00869
-1.11502	-0.00411
-1.09699	-0.01752
-1.07895	0.013
-1.06091	-0.01492
-1.04288	-0.00954
-1.02484	-0.07493
-1.00681	-0.04336
-0.98877	-0.02651
-0.97073	0.02404
-0.9527	0.02555
-0.93466	0.0072
-0.91663	0.04732
-0.89859	-1.09E-04
-0.88055	-0.00642
-0.86252	0.03911
-0.84448	0.00905
-0.82645	0.02127
-0.80841	0.00255
-0.79037	-0.05362
-0.77234	-0.02281
-0.7543	0.03314
-0.73627	0.04906
-0.71823	0.02106
-0.70019	-0.067
-0.68216	0.03735
-0.66412	0.02639
-0.64609	0.0119
-0.62805	0.01317
-0.61001	-0.0094
-0.59198	0.04861
-0.57394	0.00487
-0.55591	0.0451
-0.53787	-0.05658
-0.51983	-0.00126
-0.5018	0.05689
-0.48376	-0.04514
-0.46573	0.05112
-0.44769	0.00926
-0.42965	-0.01821
-0.41162	0.03117
-0.39358	0.05778
-0.37555	-0.0511
-0.35751	0.01269
-0.33947	0.03715
-0.32144	0.02925
-0.3034	-0.02931
-0.28537	-0.04397
-0.26733	-0.0365
-0.24929	0.00102
-0.23126	0.03896
-0.21322	0.02395
-0.19519	0
-0.17715	0.02452
-0.15911	-0.01442
-0.14108	0.0172
-0.12304	-0.0214
-0.10501	0.04797
-0.08697	0.05269
-0.06893	-0.00195
-0.0509	-0.00618
-0.03286	-0.01459
-0.01483	-0.05316
0.00321	0.06919
