#(Ei − Ef) / eV 	H atom flux
-1.61927	0.01439
-1.59958	0.05765
-1.57988	0.04504
-1.56019	0.06512
-1.5405	-0.00179
-1.52081	-0.03057
-1.50112	-0.051
-1.48142	-0.00175
-1.46173	-0.00648
-1.44204	0.03751
-1.42235	0.00692
-1.40266	-0.01382
-1.38296	0.04273
-1.36327	-0.01315
-1.34358	-0.01329
-1.32389	-0.01335
-1.30419	-0.01032
-1.2845	-6.16E-05
-1.26481	0.00288
-1.24512	-0.00228
-1.22543	-0.03318
-1.20573	0.00958
-1.18604	-0.01977
-1.16635	0.02798
-1.14666	0.00572
-1.12697	0.03007
-1.10727	0.04616
-1.08758	0.0387
-1.06789	0.04319
-1.0482	0.01342
-1.02851	-0.0164
-1.00881	0.00924
-0.98912	-4.38E-05
-0.96943	-0.00458
-0.94974	-0.01207
-0.93004	0.0298
-0.91035	0.0076
-0.89066	-0.0055
-0.87097	0.0204
-0.85128	0.00595
-0.83158	-0.02545
-0.81189	-0.03903
-0.7922	-0.00425
-0.77251	0.02898
-0.75282	0.01536
-0.73312	0.04375
-0.71343	0.04332
-0.69374	-0.00608
-0.67405	0.01788
-0.65436	0.00299
-0.63466	0.03287
-0.61497	0.06438
-0.59528	-6.16E-06
-0.57559	-0.00131
-0.55589	-0.02749
-0.5362	0.01873
-0.51651	-0.00914
-0.49682	-1.78E-04
-0.47713	-0.01768
-0.45743	-0.0439
-0.43774	-0.01937
-0.41805	-0.02555
-0.39836	0.00503
-0.37867	0.00108
-0.35897	-1.48E-05
-0.33928	0.0069
-0.31959	-0.01137
-0.2999	-0.00367
-0.2802	-0.00596
-0.26051	-0.0192
-0.24082	0.01003
-0.22113	0.01751
-0.20144	0.00986
-0.18174	0.00245
-0.16205	-1.49E-04
-0.14236	0.00832
-0.12267	0.00979
-0.10298	0.01398
-0.08328	0.07446
-0.06359	0.16689
-0.0439	0.34105
-0.02421	0.70678
-0.00452	1
0.01518	0.99203
0.03487	0.89136
0.05456	0.75272
0.07425	0.64474
0.09395	0.60205
0.11364	0.38929
0.13333	0.32136
0.15302	0.25663
0.17271	0.19847
0.19241	0.13953
0.2121	0.12066
0.23179	0.07681
0.25148	0.04161
0.27117	0.04442
0.29087	0.01138

