0.36	8.29E-04	0.00433
0.34	0.00166	0.04762
0.32	0.0058	0.15584
0.3	0.00829	0.15584
0.28	0.01437	0.21212
0.26	0.01686	0.29437
0.24	0.02542	0.33766
0.22	0.0362	0.51082
0.2	0.06024	0.65368
0.18	0.10528	0.74459
0.16	0.15695	0.88745
0.14	0.26029	0.83983
0.12	0.35618	0.90909
0.1	0.49848	1
0.08	0.68168	0.88312
0.06	0.85991	0.79654
0.04	1	0.62338
0.02	0.99337	0.55411
0	0.83062	0.37662
-0.02	0.49793	0.16017
-0.04	0.24565	0.12554
-0.06	0.09146	0.08658
-0.08	0.03233	0.04762
-0.1	0.00774	0.03463
-0.12	0.00221	0.02165
-0.14	8.29E-04	0.00433
-0.16	0	0.00866
-0.18	0	0.00433
-0.2	0	0
-0.22	2.76E-04	0.00433
-0.24	0	0

