IncidenceEnergy(eV) EnergyLoss(eV)
0.2 0.06466948710125003
0.225 0.06598416785551336
0.25 0.06730398277964689
0.275 0.06862714774300879
0.3 0.06995463688543205
0.325 0.07128608952191029
0.35 0.07262227756925993
0.375 0.07396031403837439
0.4 0.07530251727598503
0.425 0.07664676209325239
0.45 0.07799368516727578
0.475 0.07934383471729078
0.5 0.08069760447444513
0.525 0.08205183584482517
0.55 0.08341047666453383
0.575 0.08477020501749843
0.6 0.08613064542214766
0.625 0.0874946834909276
0.65 0.08885960436315976
0.675 0.0902263366064634
0.7 0.09159430806923707
0.725 0.09296181583255692
0.75 0.09433267953913071
0.775 0.09570345682476944
0.8 0.0970753052028348
