KE_HEOM(eV)	HEOM_Probability(eV^-1)
0.0002062797 0.06015014336533105
0.0008251187 0.09576222447754962
0.001856517 0.025109818332386992
0.003300475 0.022683282215464735
0.005156992 0.09047319395948888
0.007426068 0.06459748424059837
0.0101077 0.01648754614854865
0.0132019 0.06193248705926001
0.01670865 0.08166502088265808
0.02062797 0.03138478271504047
0.02495984 0.04204378331068549
0.02970427 0.08586279275264946
0.03486126 0.0582491862470196
0.04043081 0.038907929072518166
0.04641292 0.07784841720822464
0.05280759 0.07535090990542705
0.05961482 0.04350371656029865
0.06683461 0.06848355986962545
0.07446696 0.09140669258859815
0.08251187 0.06498512638941817
0.09096933 0.06573542349902953
0.09983936 0.09382848113979506
0.1091219 0.08423707329640658
0.1188171 0.07193633494261753
0.1289248 0.09251714594019828
0.1394451 0.1006380956275011
0.1503779 0.09238259371860383
0.1617233 0.10120329824882454
0.1734812 0.11146076609066863
0.1856517 0.10959357953557107
0.1982348 0.11160167868739752
0.2112304 0.11616672436202813
0.2246386 0.11930628881902389
0.2384593 0.12647325795490943
0.2526926 0.13151177298329925
0.2673384 0.1331552106274167
0.2823969 0.13736566538830122
0.2978678 0.1388294224348702
0.3137514 0.13627913916220694
0.3300475 0.1380307789023618
0.3467561 0.14424543329936532
0.3638773 0.14500451378416235
0.3814111 0.1377101099893328
0.3993574 0.13849209539648907
0.4177163 0.14905440693227756
0.4364878 0.14625871918567643
0.4556718 0.13861135243026018
0.4752683 0.14766966240300392
0.4952775 0.15434669335665713
0.5156992 0.15522787032841032
0.5365334 0.17458355192509167
0.5577802 0.2014161952267119
0.5794396 0.22843911975110467
0.6015115 0.2821697137776007
0.623996 0.36230195997160575
0.646893 0.4519739359610318
0.6702026 0.5577159297589299
0.6939248 0.6751829722421969
0.7180595 0.7929256309812904
0.7426068 0.9196852572547538
0.7675666 1.0450020627164658
0.792939 1.1590341240333668
0.818724 1.2812373744292578
0.8449215 1.3985045194082988
0.8715316 1.5016046859628485
0.8985542 1.6052201186220407
0.9259894 1.6745432858687905
0.9538372 1.702551652085891
0.9820975 1.7117704100932765
1.01077 1.6787392404887438
1.039856 1.6257145345240451
1.069354 1.5679812579910568
1.099264 1.4726161405062772
1.129587 1.3648115679147759
1.160323 1.240031608401913
1.191471 1.0848286116834036
1.223032 0.945770367181196
1.255005 0.8170666619603847
1.287391 0.6923650713554286
1.32019 0.5846157734525957
1.353401 0.4806948156306946
1.387024 0.38418823796553425
1.421061 0.2985256834514928
1.455509 0.23326948393134414
1.490371 0.18720988091076374
1.525644 0.14428143756575146
1.561331 0.1069583398236118
1.59743 0.08302636831768713
1.633941 0.06486844379320149
1.670865 0.045632397824049216
1.708202 0.0362653105682154
1.745951 0.0320471552102931
1.784113 0.023930381412141058
1.822687 0.015017084206525415
1.861674 0.010334704754414366
1.901073 0.006435064111038008
1.940885 0.00412483578251201
1.98111 0.004895853328498912
2.021747 0.00556330655198395
2.062797 0.003933316558150771
2.104259 0.005144922590014264
2.146134 0.00621251912820838
2.188421 0.00355200828290237
2.231121 0.00287651486377861
2.274233 0.00591867358293395
2.317758 0.00522950043555225
2.361696 0.002277771485652355
2.406046 0.0013120863296126582
2.450809 0.0013752971006364414
2.495984 -0.0006424925370198673
2.541572 -0.0021338608049538167
2.587572 -0.0024028376620462686
2.633985 9.802356499410462e-5
2.680811 0.003021521952000327
2.728049 0.0021284366921829004
2.775699 0.0013973819889158184
2.823762 0.0011195059069477357
2.872238 0.0009530238449907853
2.921126 1.8154320311909452e-5
2.970427 -0.0012480123648206272
3.020141 -0.0006233394788024695
3.070267 -0.00013546599548876697
3.120805 -0.0006273794527941249
3.171756 -0.0006004394781621106
3.22312 -0.00033421935151856113
3.274896 0.0006016930020948604
3.327085 -0.0006907477188212374
3.379686 0.000255886902190729
3.4327 0.0021867249871651215
3.486126 0.0010304280960021204
3.539965 -0.0003940063098918394
3.594217 -0.00037198059581683825
3.648881 0.0011185969033347693
3.703958 0.0008663379894082363
3.759447 -0.0011643980403967607
3.815349 -0.0012742466406877229
3.871663 -0.0013827868209510248
3.92839 -0.0002927430423917471
3.985529 0.001012091285926978
4.043081 -0.0006895812714528287
4.101046 0.00014982685177673214
4.159423 8.171840260253657e-5
4.218213 -0.0001324549636126134
4.277415 0.0011333737963034045
4.33703 -0.0004050294457498698
4.397057 -0.0017459472044095278
4.457497 0.0008953272920523235
4.51835 0.0009301893410705613
4.579615 -0.0006962513362813345
4.641292 -0.0001946436829272902
4.703383 -0.0013917235266086977
4.765885 -0.00036235613673837603
4.828801 0.0020920636754764707
4.892129 -0.0010592137152044016
4.955869 -0.0006008411661393523
5.020022 2.097599851999756e-5
5.084587 0.00041053192742869293
5.149566 0.00010881587223788025
5.214956 -0.00037096819824856107
5.280759 -0.00029828436779014134
5.346975 0.0006839765694593446
5.413604 -0.0004822727944140532
5.480644 -0.0006062849657856849
5.548098 -0.0006406843732316425
5.615964 0.001574145900152628
5.684242 6.104600977489479e-5
5.752934 -0.0008452874192757248
5.822037 -0.0003691980452736398
5.891553 0.00012525971352300496
5.961482 0.00021179504022737186
6.031824 3.1581337236383155e-5
6.102578 -1.769328019122551e-5
6.173744 0.0003882766719582142
6.245323 0.00040885059254939924
6.317315 -0.0008013557781907548
6.389719 0.001606412310365994
6.462536 -0.0008855024054383743
6.535765 -0.0008769764740081352
6.609407 0.0012791263356346303
6.683461 -0.00042464590272706397
6.757928 0.00011225240563865397
6.832808 0.00035522581547826524
6.9081 -0.00016988535482577124
6.983804 -0.0006387221217839102
7.059922 0.0006646194492063828
7.136451 -0.0008048077960762308
7.213394 0.0006915953902454073
7.290748 0.0004995639285295899
7.368516 -0.0008819720186449914
7.446696 0.0004175018385135376
7.525288 -4.743272472148334e-5
7.604294 -0.0004966355058114326
7.683711 0.00026593542413753094
7.763541 0.0006623899105655002
7.843784 -0.0007697026898653548
7.92444 0.00024413251248911483
8.005507 -0.00010832055802428426
8.086988 0.0001222275561151548
8.168881 -0.0002380251894225053
8.251187 0.0003662662152116606
8.333905 0.000128727291611935
8.417035 -0.0006650544534343289
8.500579 0.000334397820616084
8.584535 8.253309851038434e-5
8.668903 3.8549135768058234e-5
8.753684 -0.00014639024265720684
8.838877 0.00010063006943983143
8.924483 -0.00011126083072706696
9.010502 0.00016581395755220144
9.096933 -0.000184932563737621
9.183777 0.0001444833416168947
9.271033 -5.5718135537262895e-5
9.358702 -4.897678150412489e-5
9.446784 0.00010661783259766343
9.535277 -4.862998962179366e-5
9.624184 1.0868461378198044e-5
9.713503 -7.626422948723472e-6
9.803235 -2.3081498487945574e-5
9.893379 1.1044003945971535e-5
9.983936 2.8230301663979372e-5
10.07491 -6.629933890157577e-6
10.16629 -2.006304238819756e-5
10.25808 4.217564751659811e-6
10.35029 9.887638529338333e-6
10.44291 -6.867353821739162e-6
10.53594 9.772818614411027e-6
10.62938 -1.0376652942801156e-5
10.72324 2.505775790472393e-7
10.81751 6.7686392852773245e-6
10.91219 -2.185927668710766e-6
11.00729 -1.8554069889110206e-7
11.1028 -2.2139519358657025e-7
11.19872 -7.532293182671058e-8
11.29505 -1.042249307502022e-6
11.39179 1.31743926675707e-6
11.48895 5.061120861680186e-7
11.58652 -1.8526447688526268e-7
11.68451 -3.4596556359500244e-7
11.7829 5.993869875148609e-8
11.88171 -1.8026075462323343e-7
11.98093 1.5051343155687154e-7
12.08056 1.5694229430215342e-7
12.18061 1.1964486521680642e-7
12.28107 -2.624623564391099e-7
12.38194 -1.8180189623393832e-7
12.48322 9.952241768204052e-8
12.58492 1.5451444825082847e-7
12.68702 2.176923194770411e-8
12.78955 -7.048787308387187e-8
12.89248 -4.341285405837781e-8
12.99583 -3.767229369483419e-9
13.09958 1.3219945068533683e-8
13.20376 1.785989551818528e-8
13.30834 -7.762273746907874e-9
13.41334 -1.193606170232974e-8
13.51874 -2.037550338855302e-9
13.62457 8.517356281620406e-9
13.7308 5.298813380767534e-9
13.83745 -4.280820196747039e-9
13.94451 -7.157201416929075e-9
14.05198 4.565026744942699e-9
14.15986 4.97106476446389e-9
14.26816 -1.9496367037155477e-9
14.37687 -2.487669543995875e-9
14.48599 1.5190090196120282e-9
14.59552 1.7229328684542523e-9
14.70547 3.0893402090590133e-9
14.81583 1.3437598620009903e-9
14.9266 1.4640796084508139e-9
15.03779 1.6723902231670248e-9
15.14938 9.351689847695815e-10
15.26139 1.4934562125093386e-9
15.37382 4.26583545580526e-10
15.48665 4.5839375031549745e-10
15.5999 3.04019419614506e-10
15.71356 4.1101312009511533e-10
15.82763 1.9241232703636905e-10
15.94212 5.672106826159001e-10
16.05702 -6.15004737220022e-11
16.17233 5.907024253000183e-11
16.28805 4.310702602066257e-10
16.40418 5.537179796744128e-10
16.52073 3.8394631655417e-10
16.63769 1.6340541978253466e-10
16.75507 4.194144941789714e-10
16.87285 1.2341270601520902e-10
16.99105 1.1822298063987264e-10
17.10966 -3.4267160860349286e-11
17.22868 4.1295947060501143e-10
17.34812 1.3632260172562573e-9
17.46797 1.1059374852546476e-9
17.58823 1.330886917041355e-9
17.7089 1.4388152897917233e-9
17.82999 2.6175756629921055e-9
17.95149 2.383594877108224e-9
18.0734 1.9279879554453906e-9
18.19572 2.2883115358751735e-9
18.31846 2.414271950725491e-9
18.44161 7.742121201169347e-10
18.56517 6.740748283125207e-10
18.68914 1.3579548563635744e-9
18.81353 -3.1181212851361983e-10
18.93833 -6.673737187958584e-10
19.06354 -7.464407535923447e-10
19.18917 -1.6672103033700206e-9
19.3152 -7.102589267337067e-10
19.44165 -6.357331240644726e-10
19.56851 -4.786560882438456e-10
19.69579 -5.669789832360019e-10
19.82348 -4.882432179777686e-10
19.95158 9.028968956498459e-11
20.08009 1.2281626940885028e-10
20.20901 -6.9349365934803704e-12
20.33835 -1.336506384191401e-10
20.4681 -2.9816026475626785e-11
