EnergyLoss(eV) ProbabilityDensity(eV⁻¹)
-0.02555755261406326 3.467340839335975e-6
-0.02553804141171068 1.2500572960760792e-5
-0.025518530209358098 4.5803169402169885e-5
-0.02549901900700552 0.00014544743156186257
-0.025479507804652936 0.00039754967379357353
-0.025459996602300358 0.0009352773365476352
-0.02544048539994778 0.001894393027400465
-0.025420974197595196 0.003304538459900197
-0.025401462995242617 0.004965929395555513
-0.025381951792890035 0.006431063743133958
-0.025362440590537456 0.007179667070779772
-0.025342929388184877 0.006912127701811599
-0.025323418185832294 0.005740481149043575
-0.025303906983479715 0.004113858391452396
-0.025284395781127133 0.002544709034175696
-0.025264884578774554 0.0013590057981218706
-0.025245373376421975 0.0006267360886366589
-0.025225862174069393 0.00024962595781149836
-0.025206350971716814 8.587579578369677e-5
-0.02518683976936423 2.5517227827740255e-5
-0.025167328567011652 6.548693785978638e-6
-0.025147817364659073 1.451387256538872e-6
-0.02512830616230649 2.777426380395215e-7
-0.025108794959953912 4.588107828731869e-8
-0.02508928375760133 6.540854498651716e-9
-0.02506977255524875 8.045060936878734e-10
-0.02505026135289617 8.53049471338796e-11
-0.02503075015054359 7.933919146663193e-12
-0.02501123894819101 6.204967095690961e-13
-0.02499172774583843 4.549867427261489e-13
-0.02497221654348585 0.0
-0.02495270534113327 3.135339210480481e-14
-0.024933194138780687 5.900835375882707e-14
-0.024913682936428108 1.5594470159641105e-13
-0.02489417173407553 1.0746958878371515e-13
-0.024874660531722947 3.132563652918918e-14
-0.024855149329370368 1.316689812735916e-13
-0.024835638127017785 2.275957200481571e-14
-0.024816126924665206 9.125686317723591e-14
-0.024796615722312627 6.671052599216409e-14
-0.024777104519960045 1.1157741397482823e-13
-0.024757593317607466 7.040201754904274e-14
-0.024738082115254884 3.113828639378369e-14
-0.024718570912902305 1.7187640199978205e-14
-0.024699059710549726 1.3767459394742332e-13
-0.024679548508197143 0.0
-0.024660037305844564 0.0
-0.024640526103491982 1.925543058334256e-15
-0.024621014901139403 1.5439038936193583e-14
-0.024601503698786824 1.617456169000775e-14
